Street,City,State/ZIP,Country,Precinct
288 York Street,New Haven,CT 06511,USA,009-069
301-399 South Boulevard Drive,Bainbridge,GA 39819,USA,013-062
150-151 Tremont Street,Boston,MA 02111,USA,025-111
2395 Ingleside Avenue,Macon,GA 31204,USA,013-041
1007 Merchant Street,Ambridge,PA 15003,USA,025-018
859 Washington Avenue,Miami Beach,FL 33139,USA,012-051
974 Great Plain Avenue Needham MA 02492,USA,MA 02492,USA,025-006
139 Lynnfield Street,Peabody,MA 01960,USA,025-090
180 Nassau Street,Princeton,NJ 08542,USA,034-010
563 Carlsbad Village Drive,Carlsbad,CA 92008,USA,006-032
5110-5140 Main Street,Buffalo,NY 14221,USA,036-072
2048 Hillside Avenue,New Hyde Park,NY 11040,USA,036-099
108 West 2nd Street,Los Angeles,CA 90012,USA,006-021
29 Godwin Avenue,Ridgewood NJ 07450,NJ 07450,USA,034-000
1093 Hemphill Avenue Northwest,Atlanta,GA 30318,USA,013-000
328 Boston Road,Billerica,MA 01821,USA,025-010
1875 South Bascom Avenue,Campbell,CA 95008,USA,006-000
6444-6544 Georgia 85,Riverdale,GA 30274,USA,013-009
443 Emerson Street,Palo Alto,CA 94301,USA,006-041
484 Moreland Avenue Northeast,Atlanta,GA 30307,USA,013-055
210 Blake Road North,Hopkins,MN 55343,USA,027-028
311 East State Street,Rockford,IL 61104,USA,017-038
1149 East Southern Avenue,Mesa,AZ 85204,USA,004-067
1782 Massachusetts Ave Cambridge MA 02140,USA,MA 02140,USA,025-070
1101 South Joyce Street,Arlington,VA 22202,USA,051-092
574 Congress Street,Portland,ME 04101,USA,023-089
114 State Street,Madison,WI 53703,USA,055-015
9600-9708 West Linebaugh Avenue,Westchase,FL 33626,USA,012-067
3085 Jefferson Street,Napa,CA 94559,USA,006-009
2313 Frankford Avenue,Philadelphia,PA 19125,USA,042-097
2035 East North Avenue Milwaukee WI,53211,WI 53211,USA,055-067
110 Community Drive,Augusta,ME 04330,USA,023-027
114 10th Avenue,New York,NY 10011,USA,036-087
